UniqueCount	AmbigCount
0	0
0	0
0	4
1	3
6	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
19	13
12	2
0	0
0	0
0	0
0	8
184	8
2	0
0	0
0	0
1	0
0	0
0	0
17	206
1	149
5	169
0	141
13	54
0	5
7	59
0	64
0	0
0	0
8	0
0	11
0	0
4	0
0	0
8	7
1	0
0	0
0	0
0	216
2	453
63	833
10	86
0	548
41	72
3	390
0	121
78	150
4	554
936	850
0	558
0	202
0	156
12	538
0	359
40	92
5	407
142	2697
9	2590
0	176
0	0
5	11
0	11
0	2
0	2
0	1
0	0
0	0
0	0
0	0
42	32
0	0
0	1246
12	1917
24	261
23	1207
2	136
0	69
14	1649
0	456
0	0
818	209
0	0
1	2
12	7
0	2
0	6
0	2
0	0
0	0
1	8
0	0
0	0
0	19
0	35
77	1573
0	18
0	10
0	219
0	1508
2	66
0	834
17	7
0	270
6	13
1	75
2	322
63	28
1	516
132	16
0	14
0	0
0	0
0	8
0	0
0	21
0	2
0	2
0	2
0	0
0	0
0	1
0	1
0	1
0	2
0	0
0	0
0	0
0	0
0	0
0	0
2	1389
0	0
0	0
0	0
0	0
798	3298
1	207
0	2
0	2074
0	485
0	87
8	3142
3	3130
0	1
30	15
0	653
0	0
0	0
0	0
21	1
0	0
0	0
2	0
0	0
9	3
0	0
0	0
0	1
0	0
0	3
0	5
0	8
2	7
0	1
0	0
0	0
0	5
0	5
0	0
0	0
37	6
0	17
0	0
0	0
0	0
0	40
2	30
0	0
0	0
0	0
0	36
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
941	3
29	1110
13	1069
0	63
1	102
7	907
8	1
1	0
19	3
1	3
0	0
0	4216
5	0
0	0
19	10
0	10
0	1
0	0
0	3
1516	3
0	1743
0	0
0	2
0	2
0	1743
0	1
0	0
3	316
0	318
0	337
1	3
0	230
1	270
0	316
0	5
0	21
0	256
13	13
34	29
0	12
0	0
1	1
0	193
0	4
2	4
0	3
0	189
18	221
18	133
1	45
0	125
26	112
0	0
11	39
0	39
0	0
0	0
0	1
0	1
0	1
0	1
0	1
0	0
0	0
111	1547
1	759
10	839
0	452
49	806
2	273
9	177
5	4
0	0
114	459
6	9
0	4
0	49
1	0
1	49
0	50
0	3
0	49
0	3
0	1
4	393
0	11
30	8
1	33
1	16
6	22
0	20
0	2
0	12
0	117
7	7
8	35
2	9
0	101
0	0
3669	1853
0	563
2	530
4	147
1	7
1	600
1	12
0	52
0	0
1	0
0	13
0	13
178	73
0	3
24	0
0	1
0	0
0	0
0	0
0	4
0	2
0	0
201	23
25	11
0	3
1	3
0	3
0	3
0	13
0	3
0	0
0	0
7	0
0	103
1	67
3	9
